Tick ,Customer ID,State
5,4,Null Transaction
5,3,Null Transaction
5,2,Null Transaction
5,1,Null Transaction
8,4,Null Transaction
8,3,Null Transaction
8,2,Null Transaction
8,1,Null Transaction
6,4,Null Transaction
6,3,Null Transaction
6,2,Null Transaction
6,1,Null Transaction
11,4,Null Transaction
11,3,Null Transaction
11,2,Buy
11,1,Null Transaction
7,4,Buy
7,3,Buy
7,2,Null Transaction
7,1,Buy
12,4,Null Transaction
12,3,Buy
12,2,Null Transaction
12,1,Null Transaction
17,4,Null Transaction
17,3,Null Transaction
17,2,Null Transaction
17,1,Null Transaction
18,4,Null Transaction
18,3,Null Transaction
18,2,Null Transaction
18,1,Null Transaction
24,4,Null Transaction
24,3,Buy
24,2,Null Transaction
24,1,Null Transaction
23,4,Buy
23,3,Null Transaction
23,2,Null Transaction
23,1,Null Transaction
20,4,Buy
20,3,Null Transaction
20,2,Buy
20,1,Buy
29,4,Null Transaction
29,3,Null Transaction
29,2,Null Transaction
29,1,Null Transaction
35,4,Null Transaction
35,3,Null Transaction
35,2,Null Transaction
35,1,Null Transaction
32,4,Null Transaction
32,3,Buy
32,2,Null Transaction
32,1,Null Transaction
41,4,Null Transaction
41,3,Buy
41,2,Null Transaction
41,1,Null Transaction
43,4,Null Transaction
43,3,Null Transaction
43,2,Null Transaction
43,1,Null Transaction
44,4,Null Transaction
44,3,Null Transaction
44,2,Null Transaction
44,1,Null Transaction
45,4,Null Transaction
45,3,Buy
45,2,Null Transaction
45,1,Null Transaction
44,4,Null Transaction
44,3,Null Transaction
44,2,Null Transaction
44,1,Null Transaction
40,4,Null Transaction
40,3,Null Transaction
40,2,Null Transaction
40,1,Buy
45,4,Null Transaction
45,3,Null Transaction
45,2,Null Transaction
45,1,Buy
56,4,Null Transaction
56,3,Null Transaction
56,2,Null Transaction
56,1,Null Transaction
67,4,Null Transaction
67,3,Null Transaction
67,2,Buy
67,1,Null Transaction
62,4,Buy
62,3,Null Transaction
62,2,Buy
62,1,Null Transaction
72,4,Null Transaction
72,3,Buy
72,2,Null Transaction
72,1,Buy
79,4,Null Transaction
79,3,Null Transaction
79,2,Buy
79,1,Buy
87,4,Buy
87,3,Null Transaction
87,2,Null Transaction
87,1,Null Transaction
89,4,Null Transaction
89,3,Buy
89,2,Null Transaction
89,1,Buy
98,4,Null Transaction
98,3,Null Transaction
98,2,Buy
98,1,Buy
106,4,Null Transaction
106,3,Null Transaction
106,2,Null Transaction
106,1,Null Transaction
116,4,Null Transaction
116,3,Null Transaction
116,2,Null Transaction
116,1,Null Transaction
112,4,Buy
112,3,Null Transaction
112,2,Null Transaction
112,1,Null Transaction
118,4,Null Transaction
118,3,Null Transaction
118,2,Null Transaction
118,1,Null Transaction
128,4,Buy
128,3,Null Transaction
128,2,Null Transaction
128,1,Buy
129,4,Buy
129,3,Null Transaction
129,2,Buy
129,1,Null Transaction
134,4,Buy
134,3,Null Transaction
134,2,Null Transaction
134,1,Null Transaction
140,4,Null Transaction
140,3,Null Transaction
140,2,Null Transaction
140,1,Null Transaction
149,4,Null Transaction
149,3,Null Transaction
149,2,Null Transaction
149,1,Buy
145,4,Null Transaction
145,3,Null Transaction
145,2,Null Transaction
145,1,Null Transaction
149,4,Null Transaction
149,3,Null Transaction
149,2,Null Transaction
149,1,Null Transaction
149,4,Buy
149,3,Null Transaction
149,2,Null Transaction
149,1,Null Transaction
155,4,Null Transaction
155,3,Buy
155,2,Null Transaction
155,1,Null Transaction
159,4,Buy
159,3,Null Transaction
159,2,Null Transaction
159,1,Null Transaction
162,4,Buy
162,3,Null Transaction
162,2,Null Transaction
162,1,Null Transaction
172,4,Null Transaction
172,3,Null Transaction
172,2,Buy
172,1,Null Transaction
178,4,Buy
178,3,Null Transaction
178,2,Null Transaction
178,1,Null Transaction
189,4,Null Transaction
189,3,Null Transaction
189,2,Null Transaction
189,1,Null Transaction
197,4,Null Transaction
197,3,Null Transaction
197,2,Null Transaction
197,1,Null Transaction
198,4,Null Transaction
198,3,Null Transaction
198,2,Null Transaction
198,1,Buy
199,4,Null Transaction
199,3,Null Transaction
199,2,Null Transaction
199,1,Null Transaction
210,4,Null Transaction
210,3,Null Transaction
210,2,Buy
210,1,Null Transaction
209,4,Null Transaction
209,3,Null Transaction
209,2,Buy
209,1,Buy
220,4,Null Transaction
220,3,Null Transaction
220,2,Null Transaction
220,1,Null Transaction
230,4,Null Transaction
230,3,Null Transaction
230,2,Null Transaction
230,1,Null Transaction
223,4,Buy
223,3,Buy
223,2,Null Transaction
223,1,Null Transaction
225,4,Null Transaction
225,3,Buy
225,2,Null Transaction
225,1,Null Transaction
232,4,Null Transaction
232,3,Null Transaction
232,2,Buy
232,1,Null Transaction
230,4,Null Transaction
230,3,Buy
230,2,Null Transaction
230,1,Null Transaction
241,4,Null Transaction
241,3,Null Transaction
241,2,Null Transaction
241,1,Null Transaction
238,4,Null Transaction
238,3,Buy
238,2,Null Transaction
238,1,Buy
237,4,Null Transaction
237,3,Null Transaction
237,2,Buy
237,1,Null Transaction
243,4,Null Transaction
243,3,Null Transaction
243,2,Buy
243,1,Null Transaction
244,4,Buy
244,3,Buy
244,2,Null Transaction
244,1,Null Transaction
250,4,Null Transaction
250,3,Buy
250,2,Buy
250,1,Buy
254,4,Null Transaction
254,3,Buy
254,2,Null Transaction
254,1,Null Transaction
264,4,Null Transaction
264,3,Null Transaction
264,2,Null Transaction
264,1,Buy
260,4,Null Transaction
260,3,Null Transaction
260,2,Null Transaction
260,1,Buy
268,4,Null Transaction
268,3,Buy
