Tick ,Customer ID,Transaction Status,With
1,4,Invalid Transaction,-->1
1,3,Invalid Transaction,-->1
1,2,Invalid Transaction,-->1
1,1,Invalid Transaction,-->1
2,4,Invalid Transaction,-->2
2,3,Invalid Transaction,-->2
2,2,Invalid Transaction,-->2
2,1,Invalid Transaction,-->2
3,4,Invalid Transaction,-->3
3,3,Invalid Transaction,-->3
3,2,Invalid Transaction,-->3
3,1,Invalid Transaction,-->3
4,4,Invalid Transaction,-->4
4,3,Invalid Transaction,-->4
4,2,Invalid Transaction,-->4
4,1,Invalid Transaction,-->4
5,4,Invalid Transaction,-->5
5,3,Invalid Transaction,-->5
5,2 with 3,Valid Transaction
5,1,Invalid Transaction,-->5
8,4 with 1,Valid Transaction
8,3,Invalid Transaction,-->8
8,2,Invalid Transaction,-->8
8,1 with 2,Valid Transaction
13,4,Invalid Transaction,-->13
13,3,Invalid Transaction,-->13
13,2,Invalid Transaction,-->13
13,1,Invalid Transaction,-->13
14,4,Invalid Transaction,-->14
14,3,Invalid Transaction,-->14
14,2,Invalid Transaction,-->14
14,1,Invalid Transaction,-->14
15,4,Invalid Transaction,-->15
15,3,Invalid Transaction,-->15
15,2,Invalid Transaction,-->15
15,1,Invalid Transaction,-->15
16,4,Invalid Transaction,-->16
16,3,Invalid Transaction,-->16
16,2,Invalid Transaction,-->16
16,1,Invalid Transaction,-->16
17,4 with 1,Valid Transaction
17,3,Invalid Transaction,-->17
17,2,Invalid Transaction,-->17
17,1,Invalid Transaction,-->17
21,4 with 1,Valid Transaction
21,3,Invalid Transaction,-->21
21,2 with 3,Valid Transaction
21,1 with 2,Valid Transaction
30,4,Invalid Transaction,-->30
30,3,Invalid Transaction,-->30
30,2,Invalid Transaction,-->30
30,1,Invalid Transaction,-->30
31,4,Invalid Transaction,-->31
31,3,Invalid Transaction,-->31
31,2,Invalid Transaction,-->31
31,1,Invalid Transaction,-->31
32,4,Invalid Transaction,-->32
32,3,Invalid Transaction,-->32
32,2,Invalid Transaction,-->32
32,1,Invalid Transaction,-->32
33,4,Invalid Transaction,-->33
33,3,Invalid Transaction,-->33
33,2,Invalid Transaction,-->33
33,1,Invalid Transaction,-->33
34,4,Invalid Transaction,-->34
34,3,Invalid Transaction,-->34
34,2,Invalid Transaction,-->34
34,1,Invalid Transaction,-->34
35,4,Invalid Transaction,-->35
35,3,Invalid Transaction,-->35
35,2,Invalid Transaction,-->35
35,1,Invalid Transaction,-->35
36,4,Invalid Transaction,-->36
36,3,Invalid Transaction,-->36
36,2,Invalid Transaction,-->36
36,1,Invalid Transaction,-->36
37,4,Invalid Transaction,-->37
37,3,Invalid Transaction,-->37
37,2,Invalid Transaction,-->37
37,1,Invalid Transaction,-->37
38,4,Invalid Transaction,-->38
38,3,Invalid Transaction,-->38
38,2,Invalid Transaction,-->38
38,1 with 2,Valid Transaction
46,4,Invalid Transaction,-->46
46,3,Invalid Transaction,-->46
46,2,Invalid Transaction,-->46
46,1 with 2,Valid Transaction
57,4,Invalid Transaction,-->57
57,3,Invalid Transaction,-->57
57,2,Invalid Transaction,-->57
57,1,Invalid Transaction,-->57
58,4,Invalid Transaction,-->58
58,3,Invalid Transaction,-->58
58,2 with 3,Valid Transaction
58,1,Invalid Transaction,-->58
63,4 with 1,Valid Transaction
63,3,Invalid Transaction,-->63
63,2 with 3,Valid Transaction
63,1,Invalid Transaction,-->63
73,4,Invalid Transaction,-->73
73,3,Invalid Transaction,-->73
73,2,Invalid Transaction,-->73
73,1 with 2,Valid Transaction
80,4,Invalid Transaction,-->80
80,3,Invalid Transaction,-->80
80,2 with 3,Valid Transaction
80,1 with 2,Valid Transaction
88,4 with 1,Valid Transaction
88,3,Invalid Transaction,-->88
88,2,Invalid Transaction,-->88
88,1,Invalid Transaction,-->88
90,4,Invalid Transaction,-->90
90,3,Invalid Transaction,-->90
90,2,Invalid Transaction,-->90
90,1 with 2,Valid Transaction
99,4,Invalid Transaction,-->99
99,3,Invalid Transaction,-->99
99,2 with 3,Valid Transaction
99,1 with 2,Valid Transaction
107,4,Invalid Transaction,-->107
107,3,Invalid Transaction,-->107
107,2,Invalid Transaction,-->107
107,1,Invalid Transaction,-->107
108,4,Invalid Transaction,-->108
108,3,Invalid Transaction,-->108
108,2,Invalid Transaction,-->108
108,1,Invalid Transaction,-->108
109,4 with 1,Valid Transaction
109,3,Invalid Transaction,-->109
109,2,Invalid Transaction,-->109
109,1,Invalid Transaction,-->109
119,4,Invalid Transaction,-->119
119,3,Invalid Transaction,-->119
119,2,Invalid Transaction,-->119
119,1,Invalid Transaction,-->119
120,4 with 1,Valid Transaction
120,3,Invalid Transaction,-->120
120,2,Invalid Transaction,-->120
120,1 with 2,Valid Transaction
130,4 with 1,Valid Transaction
130,3,Invalid Transaction,-->130
130,2 with 3,Valid Transaction
130,1,Invalid Transaction,-->130
135,4 with 1,Valid Transaction
135,3,Invalid Transaction,-->135
135,2,Invalid Transaction,-->135
135,1,Invalid Transaction,-->135
141,4,Invalid Transaction,-->141
141,3,Invalid Transaction,-->141
141,2,Invalid Transaction,-->141
141,1,Invalid Transaction,-->141
142,4,Invalid Transaction,-->142
142,3,Invalid Transaction,-->142
142,2,Invalid Transaction,-->142
142,1 with 2,Valid Transaction
146,4,Invalid Transaction,-->146
